element	deltaR	Peak1width_ratio	Peak2Pos_ratio	Peak2width_ratio	Nei1stShell	Nei2ndShell	F3	F4	F5	F6	Q4_1stShell	Q6_1stShell	Q4_Voro	Q6_Voro	Cavity1stPeak	CavityIonicR	PackingE_1stPeak	PackingE_IonicR	f_other	f_fcc	f_hcp	f_bcc	f_ico
In	0.03821	0.19673	1.83255	0.40859	13.138	39.98	0.06783	0.21936	0.40452	0.30829	0.03788	0.15161	0.08361	0.15954	0.02013	0.01255	0.637	0.68311	0.4535	0.034	0.334	0.1745	0.004
Sn	-0.18011	0.19665	1.81522	0.36383	9.594	47.451	0.09461	0.2585	0.35329	0.2936	0.10211	0.18618	0.09936	0.14191	0.0386	0.15805	0.59996	0.4195	0.658	0.0135	0.2225	0.105	0.001
La	0.07621	0.22087	1.82821	0.41032	14.143	40.409	0.06375	0.22288	0.39724	0.31614	0.02457	0.15596	0.06763	0.17789	0.00819	0.00206	0.66994	0.7585	0.367	0.049	0.375	0.2055	0.0035
Ce	-0.16331	0.22502	1.81298	0.39629	12.099	46.363	0.05561	0.22164	0.40448	0.31827	0.04585	0.20312	0.06677	0.193	0.00797	0.06226	0.66954	0.5046	0.3305	0.0645	0.428	0.174	0.003
Pr	0.06908	0.22065	1.80845	0.38414	12.44	45.002	0.05263	0.22525	0.39086	0.33126	0.04106	0.21014	0.06644	0.2013	0.00718	0.00202	0.67539	0.75615	0.3265	0.0675	0.434	0.171	0.001
Nd	0.06278	0.21419	1.80602	0.37703	12.381	44.744	0.04827	0.22837	0.39324	0.33012	0.03953	0.21049	0.06542	0.19785	0.00729	0.00221	0.67333	0.74704	0.324	0.0555	0.467	0.1535	0
Pm	0.05827	0.21749	1.79182	0.37767	11.917	44.26	0.05772	0.23145	0.37851	0.33232	0.04494	0.21452	0.06155	0.19417	0.00815	0.0029	0.67166	0.74023	0.292	0.0525	0.516	0.1375	0.002
Sm	0.04927	0.2085	1.80203	0.36143	12.432	44.305	0.05298	0.2325	0.37633	0.3382	0.03825	0.21163	0.063	0.2008	0.00755	0.00314	0.67713	0.73543	0.3135	0.052	0.502	0.1305	0.002
Eu	0.08289	0.21105	1.83433	0.42658	13.236	46.299	0.03213	0.19754	0.45774	0.31259	0.03227	0.17773	0.07957	0.18422	0.00741	0.00214	0.67784	0.77123	0.296	0.0865	0.344	0.243	0.0305
Gd	0.07154	0.21012	1.78092	0.35858	11.992	43.453	0.05079	0.23255	0.37913	0.33754	0.04456	0.23111	0.06364	0.21361	0.00693	0.00173	0.68085	0.76808	0.2855	0.0495	0.557	0.1075	5E-4
Tb	0.02268	0.20893	1.79006	0.36555	12.035	44.739	0.04791	0.23027	0.38536	0.33646	0.04203	0.22235	0.06125	0.20377	0.00723	0.0049	0.68153	0.70862	0.2935	0.05	0.547	0.109	5E-4
Dy	0.02284	0.20574	1.80313	0.36785	11.942	46.808	0.04172	0.23124	0.38593	0.34111	0.04374	0.22697	0.06213	0.20862	0.0076	0.00514	0.67808	0.7054	0.2845	0.0445	0.5705	0.1	5E-4
Ho	0.01515	0.20126	1.78397	0.35151	12.167	43.434	0.0472	0.23617	0.37938	0.33725	0.04035	0.22866	0.06121	0.21322	0.00734	0.00575	0.68346	0.70169	0.2805	0.0585	0.563	0.098	0
Er	0.01378	0.20073	1.78594	0.35653	11.828	45.209	0.04573	0.23282	0.38586	0.33559	0.04661	0.24876	0.06523	0.23116	0.00661	0.00517	0.68256	0.6992	0.2955	0.05	0.5505	0.103	0.001
Tm	0.01667	0.20574	1.77338	0.35671	11.862	42.706	0.04693	0.22214	0.39936	0.33157	0.04268	0.22546	0.06034	0.20663	0.00756	0.00573	0.68052	0.70075	0.2655	0.042	0.591	0.1005	0.001
Yb	0.0734	0.21283	1.81212	0.45751	13.057	40.891	0.02435	0.166	0.52393	0.28572	0.03193	0.17104	0.06719	0.18035	0.01138	0.00424	0.65385	0.73508	0.267	0.073	0.332	0.266	0.062
Lu	0.02137	0.19871	1.79573	0.34924	11.996	45.397	0.03961	0.2226	0.40252	0.33527	0.04156	0.21245	0.05967	0.1992	0.00774	0.00537	0.67833	0.70459	0.285	0.037	0.5675	0.1085	0.002
Hf	0.03978	0.1899	1.83454	0.38868	14.215	42.098	0.07465	0.2043	0.40603	0.31503	0.02227	0.15026	0.06365	0.17585	0.00734	0.00318	0.67864	0.73264	0.3035	0.0735	0.407	0.208	0.008
Ta	-0.02547	0.24264	1.82467	0.48818	13.33	46.625	0.01839	0.13419	0.59665	0.25077	0.02884	0.13716	0.07064	0.14853	0.00458	0.00748	0.69804	0.6621	0.2125	0.0415	0.1495	0.4225	0.174
W	-0.01243	0.25912	1.84407	0.50554	13.194	48.115	0.01005	0.15392	0.56521	0.27081	0.03243	0.16037	0.07835	0.17094	0.00652	0.00809	0.68161	0.66343	0.2215	0.0605	0.1765	0.4385	0.103
Re	0.02011	0.22118	1.79654	0.48973	11.923	45.457	0.0217	0.17381	0.51665	0.28784	0.0434	0.18192	0.0583	0.17105	0.01087	0.00803	0.67995	0.71059	0.2845	0.063	0.4025	0.21	0.04
Os	0.0194	0.17809	1.76716	0.41251	11.063	42.196	0.05259	0.19724	0.44499	0.30518	0.05501	0.20517	0.05814	0.17741	0.02105	0.01672	0.66324	0.69252	0.3445	0.048	0.4725	0.126	0.009
Ir	0.02355	0.14308	1.71758	0.36308	9.874	39.31	0.09784	0.21803	0.37624	0.30789	0.07943	0.2095	0.07102	0.16318	0.02373	0.01764	0.65393	0.68902	0.521	0.0355	0.3505	0.0915	0.0015
Pt	0.02987	0.144	1.73944	0.38643	10.236	39.78	0.08988	0.21343	0.39546	0.30123	0.08968	0.21511	0.089	0.17154	0.02202	0.01504	0.6488	0.69235	0.4605	0.06	0.3375	0.139	0.003
Au	0.04548	0.14823	1.74774	0.38545	10.289	41.564	0.0491	0.22328	0.39215	0.33547	0.08413	0.23818	0.08197	0.1983	0.01979	0.01115	0.65247	0.71678	0.375	0.0735	0.387	0.1595	0.005
